,mgrs_tile,base_url,sensing_time,cloud_cover
0,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20170901T182921_N0205_R027_T11SPB_20170901T183959.SAFE,2017-09-01 18:39:59.64 UTC,1.0863
1,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20170902T025541_N0205_R032_T50RKQ_20170902T030445.SAFE,2017-09-02 03:04:45.62 UTC,84.0477
204,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20151208T183312_N0204_R127_T11SPB_20151208T183309.SAFE,2015-12-08 18:33:09 UTC,99.9274
713,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20151218T183704_N0201_R127_T11SPB_20151219T000747.SAFE,2015-12-18 18:37:04.838 UTC,1.0
1638,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20161006T184332_N0204_R027_T11SPB_20161006T184326.SAFE,2016-10-06 18:43:26 UTC,4.3696
1808,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20161011T174242_N0204_R098_T13TDE_20161011T174350.SAFE,2016-10-11 17:43:50.4 UTC,12.748
3348,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20170911T184331_N0205_R027_T11SPB_20170911T184328.SAFE,2017-09-11 18:43:28.46 UTC,15.9238
3728,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20170922T025541_N0205_R032_T50RKQ_20170922T030440.SAFE,2017-09-22 03:04:40.63 UTC,84.1615
4798,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20210302T175241_N0209_R141_T13TDE_20210302T213927.SAFE,2021-03-02 18:02:55.35 UTC,47.3763
7123,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220720T174909_N0400_R141_T13TDE_20220720T211504.SAFE,2022-07-20 18:03:00.43 UTC,31.7195795634387
7215,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220730T174909_N0400_R141_T13TDE_20220730T211159.SAFE,2022-07-30 18:03:00.359 UTC,14.3229120009555
8042,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20220722T182919_N0400_R027_T11SPB_20220722T215530.SAFE,2022-07-22 18:43:59.404 UTC,2.01371240435699
9254,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20200910T173911_N0209_R098_T13TDE_20200910T213721.SAFE,2020-09-10 17:53:02.791 UTC,81.1126
10229,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20220718T025541_N0400_R032_T50RKQ_20220718T053431.SAFE,2022-07-18 03:10:44.24 UTC,99.998805577951
10561,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20220728T025531_N0400_R032_T50RKQ_20220728T052443.SAFE,2022-07-28 03:10:41.702 UTC,95.9124787243573
11038,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20220722T173911_N0400_R098_T13TDE_20220722T224347.SAFE,2022-07-22 17:53:10.09 UTC,1.2441092869195
11798,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20210309T174141_N0209_R098_T13TDE_20210309T212919.SAFE,2021-03-09 17:52:58.83 UTC,73.5797
14392,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20210317T174959_N0209_R141_T13TDE_20210317T214314.SAFE,2021-03-17 18:02:54.763 UTC,88.9867
16820,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20200908T174909_N0209_R141_T13TDE_20200908T212100.SAFE,2020-09-08 18:02:58.037 UTC,96.1604
17138,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20200920T174031_N0209_R098_T13TDE_20200920T214536.SAFE,2020-09-20 17:53:04.015 UTC,41.6549
17880,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20200921T025549_N0209_R032_T50RKQ_20200921T055005.SAFE,2020-09-21 03:10:34.328 UTC,98.067
23072,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20151019T183002_N0204_R127_T11SPB_20151019T183003.SAFE,2015-10-19 18:30:03 UTC,10.7323
23332,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20221201T182731_N0400_R127_T11SPB_20221201T201953.SAFE,2022-12-01 18:33:58.603 UTC,65.3483233300487
