station,valid,tmpf,dwpf,relh,feel,sknt,sped,alti,mslp,drct,ice_accretion_1hr,p01m,vsby,gust,skyc1,peak_wind_gust,snowdepth
BDU,2021-12-01 00:15,60.80,8.60,12.42,60.80,11.00,12.65,29.99,M,260.00,M,0.00,10.00,21.00,CLR,M,M
BDU,2021-12-01 00:35,62.60,5.00,9.90,62.60,23.00,26.45,29.99,M,260.00,M,0.00,10.00,29.00,CLR,M,M
BDU,2021-12-01 00:55,60.80,8.60,12.42,60.80,6.00,6.90,30.01,M,270.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 01:15,59.00,12.20,15.55,59.00,5.00,5.75,30.01,M,40.00,M,0.00,10.00,20.00,CLR,M,M
BDU,2021-12-01 01:35,48.20,23.00,36.78,44.07,8.00,9.20,30.04,M,350.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 01:55,46.40,23.00,39.36,43.50,5.00,5.75,30.06,M,30.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 02:15,44.60,26.60,48.96,43.09,3.00,3.45,30.07,M,230.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 02:35,44.60,26.60,48.96,44.60,0.00,0.00,30.08,M,0.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 02:55,44.60,26.60,48.96,44.60,0.00,0.00,30.07,M,0.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 03:15,44.60,26.60,48.96,41.36,5.00,5.75,30.08,M,30.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 03:35,46.40,21.20,36.48,42.87,6.00,6.90,30.08,M,300.00,M,0.00,10.00,M,CLR,M,M
BDU,2021-12-01 03:55,55.40,8.60,15.08,55.40,11.00,12.65,30.08,M,270.00,M,0.00,10.00,17.00,CLR,M,M
BDU,2021-12-01 04:15,59.00,8.60,13.24,59.00,24.00,27.60,30.09,M,270.00,M,0.00,10.00,31.00,CLR,M,M
BDU,2021-12-01 04:35,59.00,10.40,14.35,59.00,23.00,26.45,30.09,M,260.00,M,0.00,10.00,32.00,CLR,M,M
